respondent,group,questionnaire,submitted_timestamp,source_path,question_code,question_text,type,subscale,category,accuracy,stimulus_form,stimulus_title,response_raw,response_clean,response_numeric,score_value,score_confidence,score_method,score_explanation
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,1.1,1.1. Did you see this scene in the videos you watched last week?,binary,recognition,key,hit,Short,The Town,No,No,0.0,0.0,,stage3_recognition_binary,"Stage 3 recognition correctness (1 = aligns with accuracy expectation, 0 = incorrect)."
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,1.2,1.2. How confident are you in your answer? Please rate your confidence below.,likert,recognition,key,hit,Short,The Town,4 = Extremely confident,4 = Extremely confident,4.0,4.0,4.0,stage3_recognition_confidence,Stage 3 recognition confidence parsed to a 0-4 scale.
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,1.3,1.3. This scene was part of the videos you watched last week. What best explains why you didn’t remember it? Please choose from the options below.,multiple,recognition,key,hit,Short,The Town,2 = The scene didn't seem memorable,2 = The scene didn't seem memorable,,,,,
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,10,10. Did you understand the scene while watching it last week?,,,,,,,3 = Understood it well,3 = Understood it well,,,,,
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,10.1,10.1. What helped your understanding?,,,,,,,Gregory admits that he doesn't like to eat pizza,Gregory admits that he doesn't like to eat pizza,,,,stage3_recognition_binary,"Stage 3 recognition correctness (1 = aligns with accuracy expectation, 0 = incorrect)."
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,11,"11. Consider the image above. Thinking back to the videos you watched last week, what emotions do you remember feeling during this scene? Select all options that apply.",,,,,,,not interested,not interested,,,,,
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,12,12. How easy or difficult was it to remember details from this scene?,,,,,,,3 = Easy,3 = Easy,,,,,
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,13,"13. What happened in the scene? Please write a brief summary as accurately as you can. Try to include the main events and any key characters you remember. It’s okay if you don’t remember everything, just do your best.",open-ended,recall,target,,Short,The Town,he had a chance to shoot the guy but decided not to,he had a chance to shoot the guy but decided not to,,5.0,95.0,stage5_recall_keymoment,"The participant provides only a vague and partially inaccurate recollection, referencing a decision not to shoot, which does not match the key events where the resisting guard is actually shot. No other details from the model events are recalled."
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,13.1,13.1. How confident are you in your answer? Please rate your confidence below.,likert,recall,target,,Short,The Town,3 = Confident,3 = Confident,3.0,,,,
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,14,14. What happens at the end of this scene?,multiple,recall,target,,Short,The Town,C. They escape in a stolen police car,C. They escape in a stolen police car,,,,,
