respondent,survey_group,survey_study,survey_gender,survey_age,survey_file,Long_The Town_Survey_Enjoyment_E16,Short_Mad Max_Survey_Enjoyment_E16,Long_Mad Max_Survey_Enjoyment_E16,Short_The Town_Survey_Enjoyment_E16,Long_Abbot Elementary_Survey_Enjoyment_E16,Short_Abbot Elementary_Survey_Enjoyment_E16
83,Default,Group A,MALE,69,MERGED_SURVEY_RESPONSE_MATRIX-A1.txt,The movie was very interesting because there were several situations and relationships that expressed emotions and caring.,I felt a little sad watching it.,,,,
81,Default,Group A,FEMALE,24,MERGED_SURVEY_RESPONSE_MATRIX-A1.txt,"I was on edge, nervous, i even felt scared and worried at a point.",I felt a rush as they were in action,,,,
99,Default,Group A,FEMALE,25,MERGED_SURVEY_RESPONSE_MATRIX-A1.txt,The heist scene was intense and the chase afterwards was fun to watch. It made me feel like I was in the scene.,,,,,
52,Default,Group A,FEMALE,50,MERGED_SURVEY_RESPONSE_MATRIX-A1.txt,I was really enjoying watching this movie. I've never seen this movie but know all the actors. Love it!,Excited. I've never seen this movie and am definitely looking forward to doing so. ,,,,
8,Default,Group A,OTHER,51,MERGED_SURVEY_RESPONSE_MATRIX-A1.txt,I felt connected to the characters and wanted to see if there is a redemption arc.,,,,,
116,Default,Group A,MALE,19,MERGED_SURVEY_RESPONSE_MATRIX-A2.txt,,It was very thrilling and exciting ,,,,
106,Default,Group A,MALE,30,MERGED_SURVEY_RESPONSE_MATRIX-A2.txt,Excitement and sadness,Excitement,,,,
104,Default,Group A,MALE,59,MERGED_SURVEY_RESPONSE_MATRIX-A2.txt,"Suspense, excited",anticipation,,,,
98,Default,Group A,MALE,34,MERGED_SURVEY_RESPONSE_MATRIX-A2.txt,"It felt exciting thinking about whether they were going to get away from the heist clean or not, and the getaway chase was thrilling too",It was exciting to watch and I like post apocalyptic movies a lot,,,,
55,Default,Group A,FEMALE,37,MERGED_SURVEY_RESPONSE_MATRIX-A2.txt,I was very invested into the characters. It made me feel hopeful and also intrigued into the next scene. ,It made me feel excited and very interested to see what the scene of the movie would be. ,,,,
14,Default,Group A,MALE,33,MERGED_SURVEY_RESPONSE_MATRIX-A2.txt,I felt suspense and excitement during the chase/getaway scenes and the sit down part. ,I felt a sense of excitement as the tension was building up and the action unfolded.,,,,
3,Default,Group A,FEMALE,34,MERGED_SURVEY_RESPONSE_MATRIX-A2.txt,suspense and curiosity,stressed,,,,
77,Default,Group B,MALE,36,MERGED_SURVEY_RESPONSE_MATRIX-B1.txt,,,It made me feel fascinated throughout the entire clip.,suspense,,
73,Default,Group B,MALE,21,MERGED_SURVEY_RESPONSE_MATRIX-B1.txt,,,,It made me feel suspenseful because I like bank robbery themed action,,
64,Default,Group B,FEMALE,26,MERGED_SURVEY_RESPONSE_MATRIX-B1.txt,,,"I felt invested in the story - curious about the setting, world, and characters. I also felt a sense of suspense",,,
56,Default,Group B,OTHER,25,MERGED_SURVEY_RESPONSE_MATRIX-B1.txt,,,fast paced engaged the whole time,excited and involved,,
90,Default,Group B,MALE,24,MERGED_SURVEY_RESPONSE_MATRIX-B1.txt,,,"This video made me feel both thrill at the intensity of movement and intentions, but also a bit thoughtful and concerned at how aspects of the video may reflect certain aspects of human nature in the face of desperation and control.","I definitely felt a thrill from the chase, but not much else.",,
58,Default,Group B,MALE,40,MERGED_SURVEY_RESPONSE_MATRIX-B2.txt,,,it was exhilerating and exciting,,,
39,Default,Group B,MALE,35,MERGED_SURVEY_RESPONSE_MATRIX-B2.txt,,,,Suspense,,
37,Default,Group B,MALE,18,MERGED_SURVEY_RESPONSE_MATRIX-B2.txt,,,Suspense,"Suspense, excitement",,
15,Default,Group B,MALE,66,MERGED_SURVEY_RESPONSE_MATRIX-B2.txt,,,interested in the plot and story,this was a high octane movie clip,,
